id,rel_output,rel_type
trm_4a3fd79d09ab2,trm_55b6b8b8e7870,hasKind
trm_4a3fd79d09ab2,trm_557b474e2b578,hasKind
trm_4a3fd79d09ab2,trm_4a3fd79d096fc,hasPart
trm_4a3fd79d09ab2,trm_4a3fd79d09707,hasPart
trm_4a3fd79d09ab2,trm_4a3fd79d09713,hasPart
trm_4a3fd79d09ab2,trm_4a3fd79d09a3d,hasPart
trm_4a3fd79d09ab2,trm_4a3fd79d09a61,hasPart
trm_4a3fd79d09ab2,trm_4a3fd79d09ae1,hasPart
trm_4a3fd79d09ab2,trm_4fb3f4d58aeb0,hasPart
trm_4a3fd79d09ab2,trm_5519bb7767d98,hasPart
trm_4a3fd79d09ab2,trm_5519ba1746e95,hasPart
trm_4a3fd79d09ab2,trm_4a3fd79d0abb6,hasPart
trm_4a3fd79d09ab2,trm_4a3fd79d0abaa,hasPart
trm_4a3fd79d09ab2,trm_4a3fd79d09a8f,hasPart
trm_4a3fd79d09ab2,trm_4a3fd79d0ab7c,isKindOf
trm_4a3fd79d09ab2,trm_4a3fd79d09953,isPartOf
trm_55ef687f48a9d,trm_55ef687f48a9d,isSelf
trm_55ef687f48a9d,trm_4a3fd79d09af8,hasKind
trm_55ef687f48a9d,trm_558c7b14c076e,hasKind
trm_55ef687f48a9d,trm_4a3fd79d0b967,isKindOf
trm_4a3fd79d09abe,trm_4a3fd79d09abe,isSelf
trm_4a3fd79d09abe,ctp_C1,inCategory
trm_4a3fd79d09aca,trm_4a3fd79d09aca,isSelf
trm_4a3fd79d09ad5,trm_4a3fd79d09ad5,isSelf
trm_4a3fd79d09ad5,ctp_C6,inCategory
trm_4a3fd79d09ad5,trm_4a3fd79d0b892,isKindOf
trm_558c7b14c076e,trm_558c7b14c076e,isSelf
trm_558c7b14c076e,trm_4a3fd79d09af8,hasPart
trm_558c7b14c076e,trm_568427366401c,isKindOf
trm_558c7b14c076e,trm_55ef687f48a9d,isKindOf
trm_4a3fd79d09ae1,trm_4a3fd79d09ae1,isSelf
trm_4a3fd79d09ae1,ctp_C1,inCategory
trm_4a3fd79d09ae1,trm_4a3fd79d0b1f7,isPartOf
trm_4a3fd79d09ae1,trm_4a3fd79d09ab2,isPartOf
trm_557b474e2b578,trm_557b474e2b578,isSelf
trm_557b474e2b578,ctp_C1,inCategory
trm_557b474e2b578,trm_5519b80525e89,isKindOf
trm_557b474e2b578,trm_4a3fd79d09ab2,isKindOf
trm_557b474e2b578,trm_557b476527a27,isPartOf
trm_557b476527a27,trm_557b476527a27,isSelf
trm_557b476527a27,ctp_C1,inCategory
trm_557b476527a27,trm_557b474e2b578,hasPart
trm_557b476527a27,trm_4a3fd79d09ab2,isKindOf
trm_557b476527a27,trm_5519b7525d7a2,isKindOf
trm_55ef273a77a86,trm_55ef273a77a86,isSelf
trm_55ef273a77a86,ctp_C1,inCategory
trm_55ef273a77a86,trm_4a3fd79d09ab2,isKindOf
trm_4a3fd79d09aed,trm_4a3fd79d09aed,isSelf
trm_4a3fd79d09aed,ctp_C6,inCategory
